Nombre,Ingredientes,Pasos
arroz caldoso con pollo en thermomix,250 gramos de Pollo troceado (sin hueso ni piel) 1 diente de Ajo 100 gramos de Pimiento rojo y verde 1 Tomate maduro 25 mililitros de Aceite de oliva ¼ cucharadita de Pimentón dulce 500 mililitros de Caldo de ave 100 gramos de Arroz redondo 100 gramos de Judías verdes congeladas 1 pizca de Sal,1 Hacer este rico arroz caldo con Thermomix es muy fácil y para empezar parte el tomate por la mitad y trocea durante 3 segundos en velocidad 5. Retira y reserva. 2 Ahora empezamos con el sofrito base para ello coloca en el vaso el ajo junto con los dos trozos de pimiento y el aceite. Programa 5 segundos con velocidad 5 para trocear y luego programa 8 minutos con 120º de temperatura a velocidad 2. 3 A continuación coloca los trozo de pollo en el vaso y rehoga programando 5 minutos manteniendo la temperatura en 120º con giro a la izquierda y velocidad de cuchara. Pasado este tiempo añade el tomate que trituramos en el primer paso y repite la misma programación por 3 minutos más. Truco: Si prefieres puedes usar conejo en vez de pollo para hacer un rico arroz con conejo. 4 Sazona el sofrito de nuestro arroz caldoso añadiendo el pimentón dulce y mezclando por 30 segundos con modo Varoma giro a la izquierda y velocidad de cuchara. Pasado este tiempo vierte todo el caldo de ave en el vaso junto con una pizca de sal y deja que se desprendan bien los sabores durante 10 minutos con 100º giro a la izquierda y velocidad de cuchara. 5 Finalmente añade el arroz junto con las judías y terminar de cocinar el arroz caldoso con pollo por 10 minutos manteniendo la misma temperatura de 100º con giro a la izquierda y velocidad de cuchara. 6 Cuando la máquina termine podrás servir este delicioso arroz caldoso con pollo en Thermomix y a disfrutar. Y si prefieres los platos de arroz con menos caldo también puedes echar un vistazo a la receta clásica de arroz con pollo con Thermomix. ¡Prueba las dos y cuéntanos cuál es tu favorita!
paella de pollo y gambas,½ Pollo en trozos 16 Gambas limpias ½ Pimiento verde 2 Ajos 1 Tomate 1 Cebolla 6 vasos pequeños de Arroz redondo 18 vasos pequeños de Fumet o agua Aceite de oliva Sal 1 pizca de Colorante alimenticio Azafrán,1 Lo primero que haremos para hacer esta paella de pollo con gambas es salar el pollo y ponerlo a dorar en una cazuela de barro con un chorrito de aceite de oliva caliente. 2 Mientras se va dorando el pollo pelamos y cortamos la cebolla en mirepoix y los ajos los picamos.Si prefieres no encontrarte las verduras en el arroz con pollo y gambas puedes triturarlas juntas y sofreírlas así. 3 Una vez el pollo esté dorado lo reservamos en un plato aparte y en la misma cazuela sofreímos el pimiento y la cebolla un poco. 4 Mientras tanto hacemos un fumet de marisco rápido friendo las cabezas de las gambas en un poco de aceite echando después un poco de agua y dejando hervir a fuego lento unos 5-10 minutos. 5 Cuando el pimiento y la cebolla de la paella sencilla de pollo y gambas estén pochados cortamos el tomate y los ajos en trocitos y los añadimos a la cazuela procurando rascar el fondo de la misma una vez empiecen a soltar las verduras sus jugos para desglasear la cazuela y que absorban todo el sabor del pollo dorado. 6 Una vez esté bien sofritas las verduras de la paella de pollo y gambas agregamos el pollo frito a la cazuela añadimos los vasos de fumet de pescado o en su defecto de agua correspondientes a la cantidad de arroz que vayamos a echar espolvoreamos unas cuantas hebras de azafrán y un pizca de colorante alimenticio y subimos el fuego para llevar el líquido a ebullición. 7 Cuando el agua de la paella de pollo y marisco empiece a hervir añadimos los vasitos de arroz removemos bien y dejamos que se cocine a fuego fuerte unos 8 minutos. 8 Pasado este tiempo añadimos las gambas a la paella de pollo bajamos el fuego y seguimos cocinando el arroz unos 8 minutos más aproximadamente a fuego lento. Truco: No se recomienda remover mucho el arroz a partir de este momento y no pasa nada si se quema un poco el fondo de la cazuela porque así el arroz quedará 9 Una vez haya pasado ese tiempo y con el fumet casi evaporada del todo tapamos el arroz con pollo y gambas con un paño de cocina para que repose durante unos 3 minutos más y el arroz acabe de absorber todo el líquido. 10 Una vez el arroz haya reposado ya podemos servir nuestra deliciosa paella de pollo y gambas en la mesa. ¡A disfrutar!
paella de carne y verduras,100 gramos de Lomo de cerdo 100 gramos de Pechuga de pollo ½ Pimiento 2 dientes de Ajo 3 Zanahorias 1 lata de Guisantes 1 pizca de Sal 2 tazas de Arroz 4 tazas de Agua (960 mililitros),1 Empieza trabajando con la carne. Trocea entonces el lomo y el pollo en cuadros pequeños de un bocado más o menos procurando que todo sea más o menos del mismo tamaño. 2 Ahora calienta un chorrito de aceite de oliva en una sartén o una paellera si tienes en casa. Cuando esté caliente añade los ajos junto con las zanahorias el pimiento los guisantes y la carne.Añade todo y revuelve para hacer un sofrito. Procuro cortar las verduras también en trozos pequeños al gusto. 3 Cuando esté casi listo y la carne haya cambiado de color agregar el arroz y vuelve remover para que se mezcle bien con todo. Espera un par de minutos y entonces añade agua y sal continua con la cocción a fuego bajo. Si quieres puedes sustituir el agua por caldo de verduras o caldo de pollo para intensificar el sabor del arroz. Truco: Añade también colorante alimentario y cualquier otra especie que suelas añadir al arroz. 4 Cuando el arroz esté ya listo y veas que se ha consumido todo el líquido retira la paella con pollo del fuego y dejar reposar. ¡Espero que os guste! Truco: Si ves que se consume el líquido pero el arroz aún no está hecho puedes añadir un poco más pero que esté caliente. 5 Disfruta de un buen plato de esta paella de carne y verduras con pollo y lomo que está sencillamente deliciosa. Recuerda que siempre puedes hacer una paella mixta añadiendo más ingredientes o incluso preparar un arroz caldoso modificando la cantidad de líquido durante la cocción. ¡A disfrutar!
arroz con brocoli y bacalao,½ unidad de Brócoli 100 gramos de Bacalao fresco desalado 130 gramos de Arroz blanco 1 unidad de Pimiento amarillo 2 dientes de Ajo 1 pizca de Sal 1 pizca de Pimienta negra molida 1 chorro de Aceite de oliva,1 Reunimos todos los ingredientes para elaborar el arroz con brócoli y bacalao. 2 En primer lugar cocemos el brócoli en abundante agua hirviendo con un poco de sal. Lo dejamos cocer durante 10 minutos escurrimos y reservamos. 3 Por otra parte metemos el bacalao al horno a 180ºC con un poco de pimienta negra molida y aceite de oliva. Hemos horneado el bacalao con la técnica del papillote envolviéndolo en papel de plata y haciendo un paquetito para que se cueza con sus propios jugos. El tiempo de cocción es de unos 14 minutos.Si quieres más detalles sobre está técnica de cocina puedes echarle un vistazo a la receta de salmón al papillote con patatas. 4 En una sartén hacemos un sofrito con los ajos fileteados un poco de aceite y el pimiento amarillo cortado en tiras finas. Dejamos cocinar durante 4 minutos a fuego suave. 5 A continuación añadimos el brócoli cocido y cortado en arbolitos y ponemos un poco de sal. Dejamos cocinar durante un par de minutos. 6 En otra olla cocemos el arroz blanco en abundante agua hirviendo con un poco de sal. Una vez cocido lo escurrimos y lo añadimos a la sartén con el resto de verduras. Sacamos el bacalao del horno lo cortamos en lascas y lo agregamos al arroz sin que se desmenuce.Si tienes dudas sobre la cocción del arroz aquí tienes una receta fácil de arroz blanco. Truco: El tiempo de cocción del arroz depende de las indicaciones del fabricante. 7 Este arroz con brócoli y bacalao es un plato completo y sano ideal para la hora del almuerzo. Si quieres conocer otras recetas similares te recomendamos el arroz hortelano. ¡Esperamos que te guste!
risotto de calabaza y champinones,1 kilogramo de Calabaza 1 Cebolleta 120 gramos de Champiñones 60 gramos de Parmesano 1 chorro de Aceite de oliva 150 gramos de Arroz blanco 1 pizca de Sal 1 pizca de Pimienta negra 700 mililitros de Caldo de verduras,1 Reunimos todos los ingredientes para elaborar el risotto de calabaza y champiñones. 2 Si no tienes caldo de verduras puedes preparar uno mientras elaborados el resto de la receta. Para ello pon a hervir unas verduras en abundante agua. Puedes incluir cebolla puerro apio y zanahoria. Deja hervir durante media hora y pon un poco de sal. 3 Mientras se hace el caldo de verduras hamos un sofrito con la cebolleta picada y un poco de aceite de oliva. Dejamos que se cocine durante 4 minutos. 4 Agregamos la calabaza pelada y cortada en cuadraditos. Cuanto más pequeña la cortes antes se cocinará. Ponemos un poco de sal y pimiento negra molida y dejamos cocinar hasta que comience a ablandarse un poco unos 20 minutos. 5 Es el momento de incorporar los champiñones fileteados y limpios a este risotto de calabaza. Dejamos cocinar durante 2-3 minutos. 6 Echamos el arroz rehogamos mezclando bien con el resto de ingredientes y cubrimos con el caldo de verduras. Vamos moviendo el risotto de calabaza y champiñones poco a poco y dejamos que reduzca el agua. 7 Lo importante del risotto es ir incorporando el caldo poco a poco y dejar que el arroz suelte el almidón y se cocine a fuego lento pero siempre con líquido sin que quede seco. El tiempo de cocción es de unos 20-22 minutos dependiendo del tipo de arroz.Es fundamental que el risotto quede cremoso que no le falte caldo. 8 Cuando tengamos el arroz casi listo ponemos un poco de parmesano rallado y movemos para que se integre su sabor. 9 Servimos el risotto de calabaza y champiñones con un poco más de parmesano rallado por encima.Si te gustan los risottos también te recomendamos el risotto al pesto y el risotto napolitano.
arroz con pollo con thermomix,80 mililitros de aceite de oliva 2 dientes de ajo 500 gramos de pollo con piel 300 gramos de pimiento rojo y verde 1 zanahoria 850 mililitros de caldo de pollo verduras o Agua 1 pizca de pimentón dulce 1 pizca de azafrán o Curry 1 pizca de sal 340 gramos de arroz 120 gramos de guisantes,1 Empezamos a preparar nuestro arroz con pollo y verduras colocando el aceite en el vaso junto con los ajos. Programa entonces por 5 segundos a velocidad 6 para triturarlos y luego calienta el conjunto por 4 minutos pero esta vez en modo Varoma con la velocidad en 1 y el cestillo sobre la tapadera. 2 Incorpora el pollo previamente troceado y sofríe durante 5 minutos manteniendo el modo Varoma pero con giro a la izquierda y velocidad de cuchara.Para preparar este arroz con pollo con Thermomix puedes usar pechuga o contramulos que son más jugosos. Lo importante es que tenga piel y que lo cortes en trozos de un bocado más o menos. 3 A continuación añade la verdura previamente picada finamente y sofríe durante 6 minutos. Volvemos a mantener el modo Varoma con giro a la izquierda y velocidad de cuchara. 4 Pasado este tiempo añade dentro del vaso el caldo y sazona al gusto con el pimentón dulce sal azafrán o curry. Estas dos últimas especias aportarán color al arroz así que si no tienes ninguna puedes añadir un poco de colorante alimentario.Continua cocinando el pollo programando la Thermomix en modo Varoma con giro a la izquierda durante 9 minutos y con velocidad cuchara.Recuerda que puedes usar un caldo hecho con pastillas concentradas agua o tu propio caldo casero de ave o de verduras. 5 Ahora añadimos el arroz en el vaso y lo cocinamos con el pollo durante 8 minutos con la temperatura a 100º giro a la izquierda y velocidad 1.Ya para terminar nuestro arroz con pollo incorpora los guisantes y programa de nuevo por 5 minutos más manteniendo la temperatura a 100º con giro a la izquierda y velocidad de cuchara. Truco: Para hacer arroz con pollo te recomendamos usar arroz bomba o similar y si quieres también puedes añadir maíz junto con los guisantes. 6 El arroz con pollo con Thermomix debe dejarse en reposo unos minutos antes de servir para que el arroz termine de secarse un poco. Disfruta de este rico arroz y acompaña con unas tajadas de plátano una verdadera delicia. ¡Buen provecho!
sopa de quinoa lentejas y zanahorias,½ unidad de Cebolla 3 unidades de Zanahoria 100 gramos de Lentejas 50 gramos de Quinoa 1 pizca de Cúrcuma 1 pizca de Comino molido 1 pizca de Sal 1 pizca de Pimienta negra molida 2 unidades de Tomate,1 Reunimos todos los ingredientes para preparar la sopa de quinoa lentejas y zanahorias. 2 Cortamos las cebolla de forma circular utilizando también la parte más verde del tallo. 3 Sofreímos la cebolla junto con la zanahoria pelada y cortada en trozos no demasiado pequeños. Dejamos cocinar durante 4 minutos. 4 Agregamos el tomate rallado y dejamos que se cocine durante 3-4 minutos. Ponemos un poco de sal pimienta negra molida cúrcuma y comino molido. 5 Añadimos las lentejas escurridas y removemos para que tomen el sabor. Dejamos que se cocinen durante 2-3 minutos y agregamos un par de vasos de agua. Dejamos cocer la sopa de lentejas durante 25 minutos. 6 Agregamos la quinoa que previamente hemos lavado y la dejamos cocer durante 15 minutos. 7 Si te gusta el picante puedes servir la sopa de quinoa lentejas y zanahorias con un poco de pimienta cayena o tabasco.¡No te pierdas estas otras recetas para deportistas!Garbanzos con atúnEspaguetis con frutos secos
risotto de setas con thermomix,200 gramos de Cebolla 150 gramos de Setas 30 mililitros de Aceite de oliva 350 gramos de Arroz para risotto 900 mililitros de Caldo de verduras 60 gramos de Queso parmesano rallado 1 cucharadita de Sal 10 gramos de Mantequilla,1 Enchufa tu Thermomix y alista todos los ingredientes en la mesa de trabajo. Antes de empezar a cocinar nuestro risotto es importante tener en cuenta algunas cosas:Para esta receta de risotto puedes usar las setas que más te gusten champiñones o un mix si prefieresEl arroz para risotto lo puedes conseguir en cualquier supermercado aunque siempre puedes usar arroz normal siempre y cuando sea arroz redondo o tipo bomba nunca arroz largoLa cantidad de líquido para esta receta con Thermomix puedes modificarla dividiendo la cantidad de caldo con un poco de cerveza es decir unos 200 ml de cerveza junto con 700 ml de caldo de verdurasSi tienes un trozo de queso entero puedes rallarlo en la thermomix programando 10 segundos con velocidad progresiva 5-10 2 Entonces listos para cocinar empieza por trocear la cebolla en el vaso a velocidad 4 durante 4 segundos. A continuación incorpora allí mismo la mitad de las setas y el aceite programando esta vez por 8 minutos con 100º de temperatura a velocidad 1. 3 Al acabar el proceso incorpora el arroz y programa por 3 minutos manteniendo la misma temperatura pero con giro a la izquierda y velocidad de cuchara. 4 Si has decidido hacer tu risotto de setas con Thermomix añadiendo cerveza presta atención a este paso de lo contrario puedes seguir al siguiente.Añade la cerveza retira el cubilete y programa 5 minutos nuevamente a 100º de temperatura y con giro a la izquierda en velocidad de cuchara. Esto lo que hará es hacer que se evapore el alcohol. 5 Ahora le toca el turno al caldo de verduras que debe estar bien caliente antes de añadir a la Thermomix. Entonces incorpora el caldo junto con la sal y pon a trabajar la máquina por 12 minutos manteniendo la temperatura el giro y la velocidad.Cuando pasen los primeros 9 minutos añade el resto de las setas por el bocal. 6 Ya para terminar sirve el risotto en una fuente o en platos individuales añadiendo trocitos de mantequilla por encima y espolvoreando suficiente queso por encima y listo. Disfruta del risotto de setas con Thermomix y acompaña el plato de un buen vino blanco y un poco de pan de ajo... ¡que lo disfruten!
arroz del senyoret,1 litro de caldo de pescado o fumet 200 gramos de gambas peladas crudas 200 gramos de calamar limpio y troceado 100 gramos de almejas sin cáscara 100 gramos de mejillones sin cáscara 250 gramos de emperador troceado a cuadritos 1 cucharada sopera de salmorreta (se puede utilizar pimentón dulce y perejil fresco picado en su lugar) 1 taza de tomate triturado natural o rallado 8 puñados de arroz redondo o bomba 1 pellizco de hebras de azafrán 1 taza de aceite de oliva virgen extra 1 cucharadita de sal,1 El primer paso para elaborar este arroz del señorito es preparar el marisco y pescado que vas a utilizar. Para ello debes tener en cuenta que cada uno de estos ingredientes debe de ir pelado limpio y troceado esta cualidad es la que nos indica que es un auténtico arroz del senyoret. 2 Calienta un buen chorro de aceite en una paellera o sartén y sofríe el marisco y el pescado removiendo para que se haga por todas partes durante aproximadamente 3 minutos. Al ser pedazos pequeños no será necesario más tiempo. Reserva para seguir con la receta de paella del senyoret. 3 En el mismo aceite del anterior sofrito rehoga el tomate triturado con una cucharada de salmorreta. Si no tienes salmorreta sustitúyela por pimentón y perejil picado o sigue esta Receta de salmorreta casera. 4 Una vez diluida la salmorreta añade el arroz y remueve para que se empape bien. Por otro lado ten preparado el fumet o caldo de pescado. Puedes utilizar dos pastillas de caldo de pescado y añadir agua o emplear caldo de pescado casero o comercial aunque el arroz del senyoret quedará mucho más sabroso con el caldo casero. 5 Vierte lentamente el caldo a la vez que remueves para que no quede pegado el arroz en el fondo. Esta va a ser la única vez que remuevas el arroz ya que así es como se hace el verdadero arroz del senyoret valenciano. Truco: para un arroz del senyoret meloso o caldo añade más caldo. 6 Espera a que comience a hervir el caldo y agrega las hebras de azafrán repartiéndolas por toda la paellera o sartén. Si no tienes azafrán puedes usar colorante alimentario aunque el sabor del azafrán en hebra es un condimento muy importante en este sabor mediterráneo. 7 Deja que el arroz del senyoret se cueza a fuego alto siempre que el fuego empleado sea amplio y quede totalmente repartido. Normalmente tarda unos 20 minutos en hacerse. Este tipo de paella tiene la peculiaridad de que el arroz no debe quedar del todo hecho ya que pasados estos minutos se aparta del fuego se tapa con papel de periódico y se deja reposar unos 5-10 minutos para que se termine de cocinar. Mientras el arroz del señorito reposa puedes aprovechar para preparar un alioli casero para acompañar. Truco: si quieres que quede un arroz del señoret seco deja que repose más tiempo. 8 Ya puedes servir los platos. ¡Pruébalo y dinos si no es el mejor arroz del senyoret que has probado!Y si te encantan las recetas fáciles de arroz no te pierdas las siguientes:Arroz con pollo fácilPaella marineraPaella valenciana
arroz con salchichas y verduras,200 gramos de Arroz 1 Puerro ½ Pimiento rojo ½ Pimiento verde 1 Cebolla 2 dientes de Ajo 1 Zanahoria grande Aceite de oliva virgen extra 1 pizca de Sal 5 Salchichas Frankfurt (de bote),1 En una sartén echa un poco de aceite y ajo picado. Espera hasta que el ajo se haya pochado y añade el vaso de arroz. Posteriormente añade agua y deja cocinar hasta que el arroz tenga la dureza deseada. Guarda para más tarde. 2 Para continuar con la receta de arroz con salchichas pela y pica en taquitos la verdura. Echa la verdura en una sartén con un chorro de aceite y espera a que se poche. Aparte corta las salchuchas y añádelas a la verdura cuando esté hecha. Incorpora sal al gusto. 3 Una vez que la verdura con las salchichas estén hechas añade el arroz y mezcla bien. Prueba para comprobar que el arroz con salchichas y vegetales está bien de sal y si quieres añade una pizca de pimienta. 4 ¡Buen provecho! Ya puedes servir el arroz con salchichas y verduras y disfrutar de este sencillo y rápido plato. Y si quieres conocer otras recetas con arroz no te pierdas las siguientes ideas:Arroz con surimiArroz con pollo y verdurasArroz con cúrcuma
arroz con pisto y huevo,600 gramos de Arroz 6 Huevo frito 1 diente de Ajo 1 pizca de Perejil 1 Cebolla 1 Calabacín 1 Berenjena Salsa de tomate,1 Hacer el pisto de verduras con cebolla calabacín berenjena y salsa de tomate. Para ello se deben picar las verduras del mismo tamaño saltear primero la cebolla y cuando esté transparente añadir el calabacín y la berenjena. Por último se incorpora la salsa de tomate. Para más detalles consulta la receta de pisto de verduras. 2 Freír el ajo picado y cuando esté dorado añadir el perejil y el arroz. Rehogar añadir un chorro de vino blanco y reducir (esto ayuda a que el grano no se rompa). Luego añadir el agua para cocer el arroz. 3 Aparte y mientras se cuece el arroz se fríen los huevos y se reservan. Si quieres puedes hacer los huevos fritos en el microondas para hacer del arroz con pisto y huevo una receta más saludable. 4 Para formar el volcán de arroz colocar el arroz blanco en forma de rosca o volcán en medio introducir el pisto y en los bordes los huevos fritos. 5 ¡Listo! El arroz con pisto de verduras y huevo está preparado para servir. Se puede acompañar con una pechuga de pollo a la plancha o tofu ahumado. No olvides dejar tu comentario y compartir la foto del resultado.
arroz con pechuga de pollo y champinones,2 tazas de Arroz 2 Pechugas de pollo 3 dientes de Ajo 100 gramos de Champiñones 4 tazas de Agua (960 mililitros) Aceite de oliva 1 pizca de Sal y Pimienta 1 pizca de Concentrado de caldo de pollo,1 Hacer este rico arroz suelto con pollo y champiñones es más fácil de lo que crees. Así que empecemos por lavar y cortar todos los ingredientes.Necesitamos el pollo sin nada de huesos y troceado en piezas más o menos pequeñas. El ajo córtalo finamente y lava bien los champiñones para quitar el exceso de tierra estos puedes trocearlos o laminarlos al gusto. 2 Calienta una olla con un poco de aceite y sofríe el ajo durante 1-2 minutos. A continuación añade el pollo junto con los champiñones y el arroz saltea el conjunto hasta que los tacos de pollo se doren ligeramente. Truco: También puedes añadir algo de cebolla y sofreírla junto con el ajo. 3 A continuación añade el agua y sazona el arroz con pollo y champiñones con un poco de sal pimienta y el caldo de pollo concentrado. 4 Continua con la cocción hasta que el agua empiece a hervir. En este punto baja la llama al mínimo tapa la olla y vigila hasta que se haya consumido todo el agua. Entonces el arroz estará listo.Este arroz queda bastante suelto así que si quieres un arroz más caldoso puedes revisar la receta de arroz con pollo fácil. 5 Sirve y disfruta de este rico arroz con pechuga de pollo y champiñones. Puedes usar un aro de emplatado y decorar con un poco de perejil para darle un toque más elegante pero la verdad es que no le hace falta nada más porque este arroz con pollo es muy completo y está delicioso.Si quieres completar con alguna guarnición te recomiendo probar una ensalada de col americana para darle un poco de color y frescura al plato.
paella de marisco con sepia,¾ kilogramo de Mejillones de roca ½ kilogramo de Almejas 250 gramos de Sepia 250 gramos de Cigalas 250 gramos de Gambas 4 dientes de Ajo 1 Pimiento verde 1 Tomate 5 vasos pequeños de Arroz 15 vasos pequeños de Agua 1 sobre de Preparado para paella 20 Azafrán (hebras) Aceite Sal,1 Para elaborar esta paella de marisco y sepia lo primero que tenemos que hacer es reunir todos los ingredientes necesarios. 2 A continuación lava y corta el pimiento a trocitos y pela y corta los ajos en rodajas. Luego coge una olla de barro o cualquier otro recipiente hondo donde vayas a hacer tu paella de marisco paso a paso y coloca un poco de aceite y sofríe el pimiento verde y los ajos. 3 Después limpia y rasca bien la concha de los mejillones bajo el agua del grifo para quitarle todos la suciedad que pueda tener y luego coge una olla pon los mejillones limpios y sube el fuego para que se abran y se cuezan todos. Truco: Si antes de cocerlos hay algún mejillón abierto es mejor que lo deseches porque puede que no esté bueno y dé un mal sabor a la paella marinera. 4 Ahora haz lo mismo con las almejas: límpialas bajo el agua del grifo bien para que se vaya toda la tierra que puedan tener y ponlas al fuego en una olla a cocinar. 5 Cuando se hayan abierto tanto los mejillones como las almejas sácalos de la olla quítales la concha que no sirva y resérvalos para más tarde. ¡Pero no tires el agua de cocción! Es mejor que la cueles por un colador para evitar que tenga arenilla y la reserves también para más tarde añadírsela a la paella de sepia y gambas junto con el agua. Truco: El agua de los moluscos le dará un toque especial a nuestra paella marinera. 6 Mientras se cocinan los mejillones y las almejas puedes ir limpiando la sepia. Luego córtala trocitos y añade la sepia a la olla de la paella de marisco. Sofríela unos minutos. La sepia puede ser fresca o congelada pero en este caso yo la que he utilizado ha sido congelada. Truco: Si tú también utilizas sepia congelada para la paella marinera asegúrate de descongelarla antes de meterla en la olla. 7 Una vez rehogada la sepia añade las gambas y las cigalas a la olla de la paella marinera previamente lavadas. Si quieres también puedes córtales los bigotes y los ojos como he hecho yo. Sofríelas unos minutos con todo el conjunto. Truco: Yo utilizo gambas y cigalas congeladas pero también puedes utilizar marisco fresco para tu paella de marisco y sepia. 8 Seguidamente corta por la mitad y ralla el tomate por un rallador de queso. Añádelo a la olla de la paella de sepia y gambas y sofríelo unos minutos con todo el resto de ingredientes. 9 A continuación añade los mejillones y las almejas cocidas y mézclalos con los demás mariscos. En una buena paella marinera los mariscos han de brillar por su presencia. 10 Después añade los vasos de agua correspondientes junto con los vasos del agua de cocción de los moluscos. Recuerda que por cada vaso de arroz tienes que echar 3 vasos de agua así que como yo voy a usar 5 vasos de arroz voy a echar 13 vasos de agua + los 2 más que me han salido del agua de cocción de los moluscos. En total 15 vasos para esta paella de marisco paso a paso. Sube el fuego al máximo. 11 Cuando el agua empiece a hervir echa los vasos de arroz correspondientes. Yo he utilizado 5 vasos para 4 personas porque en mi familia nos gusta repetir del plato pero sino con 4 vasos de arroz sería suficiente para hacer una buena de paella de marisco y sepia para 4 personas. Cocina el arroz a fuego fuerte al principio durante unos 7-8 minutos. 12 Ahora añade el sobre de preparado para paella y la hebras de azafrán que le darán un sabor riquísimo a nuestra paella marinera paso a paso. Truco: Si no tienes alguno de estos 2 ingredientes también puedes usar colorante alimenticio y sal en tu paella. 13 Cuando hayan pasado los 7-8 minutos baja el fuego al mínimo y sigue cocinando el arroz de la paella de marisco dejando que se consuma el agua poco a poco. Remueve muy de vez en cuando y poco a poco si quieres que quede un poco de arroz pegado en el fondo de la olla con su característico sabor a tostado. 14 Una vez pasado el tiempo de cocción de arroz (en total unos 15-16 minutos) deja reposar la paella de sepia y gambas con un trapo por encima unos 2 o 3 minutos más con el fuego apagado. 15 ¡Y listo! Ya podemos disfrutar de nuestra paella de marisco y sepia casera! Si queréis podéis echarle un poco de limón por encima al arroz para saborearlo aún más y acompañar la paella de marisco fácil con una ensalada de tomate cebolla y atún por ejemplo. ¡Qué aproveche!
paella con camarones,500 gramos de Arroz 0000 1 Pimiento verde rojo y amarillo 1 Cebolla 3 dientes de Ajo 1 rama de Apio 1 rama de Perejil 3 piezas de Muslos de pollo 1 pizca de Sal y pimienta 1 pizca de Azafrán 2 Pastillas de caldo (pescado o verduras) 300 gramos de Camarones 3 litros de Agua,1 Pelar y lavar todas las verduras. Cortar la cebolla el apio y el ajo bien chiquitos y los pimientos en julianas. También trozar los muslos en dos partes cada uno y lavar y limpiar muy bien los camarones. 2 Con los ingredientes ya listos ahora toca poner en una cacerola el agua junto con las pastillas de caldo. Calentar a fuego medio. 3 Por otro lado colocar la paellera en el fuego poner aceite de oliva e incorporar la cebolla junto con el ajo y el apio. Dorarlos bien e incorporar los trozos de pollo para sellarlos por ambos lados. 4 Disuelve el azafrán con un poquito de caldo y volcar a la preparación. Mezclar todo añadiendo caldo en la paellera hasta cubrir los ingredientes. Dejar cocinar a fuego medio por 40 minutos. 5 Pasado ese tiempo agregar los pimientos cortados en julianas el arroz los camarones y el perejil cortado finamente. Continuar con la ccocción 5 minutos sin revolver. Pasado este tiempo retirar la paellera del fuego y dejar que termine su cocción tapado.Si es necesario puedes hacer movimientos suaves y agregar más caldo si el arroz lo necesita. 6 Disfruta de la paella con camarones durante una comida en familia y ¡buen provecho!. Si te gustan este tipo de arroces con verduras y marisco también puedes probar la famosa paella valenciana o la receta paso a paso de la paella mixta con conejo.
arroz con pollo y verduras,400 gramos de Pechuga de pollo 2 Zanahoria 1 Pimiento verde 1 Pimiento amarillo 1 Calabacín 350 gramos de Arroz 1 pizca de Sal 1 chorro de Aceite de oliva 1 Cebolleta,1 Reunimos todos los ingredientes para preparar el arroz con pollo y verduras. A parte de las verduras que hemos utilizado podéis añadir otras como la berenjena o incluso el tomate natural. 2 Hervimos el arroz en abundante agua con un poco de sal. Para que os hagáis una idea la cantidad ideal de arroz por persona cuando se trata de arroz seco es de 80-100 gramos. Yo lo suelo medir en puñaditos pero si tenéis una balanza os recomendamos que lo peséis.Una vez hervido el arroz lo escurrimos enfriamos con agua y reservamos. Truco: El tiempo de cocción depende de las instrucciones del fabricante. 3 Cortamos las verduras en cuadraditos tal y como indicamos en la imagen. En el caso de la zanahoria y el calabacín los pelamos previamente. 4 En una sartén ponemos 2-3 cucharadas de aceite de oliva y vamos añadiendo las verduras en el siguiente orden: cebolleta pimientos y zanahoria. Antes de incorporar la siguiente verdura dejamos que cada una se cocine unos 3 minutos. 5 Por con la preparación de este arroz con verduras añadiremos el calabacín que normalmente tarda menos en cocinarse. Salpimentamos y cocinamos durante 4 minutos más. 6 En otra sartén salteamos la pechuga de pollo troceada y ponemos un poco de sal y de pimienta negra molida. Estará lista en 5 minutos si los trozos no son demasiado grandes. 7 Una vez cocinamos todos los ingredientes añadimos el arroz cocido y el pollo a nuestro sofrito de verduras. Removemos y rectificamos de sal si es necesario. También podéis aderezar con alguna hierba aromática como el orégano o la albahaca. 8 El arroz con pollo y verduras se puede tomar como plato principal acompañado de una ensalada ligera de pepino y de un postre de manzana con yogur. ¡Buen provecho!
